mat_hang,ton_dau_ky,nhap_trong_ky,xuat_trong_ky,ton_cuoi_ky,gia_von,gia_ban,ngay_cap_nhat_cuoi
Cà Phê Sữa Đá (ly),1200,3500,3200,1500,18000,27000,2025-06-05
Trà Đào (ly),800,2200,2100,900,20000,31000,2025-06-05
Cà Phê Đen (ly),600,1800,1700,700,14000,21000,2025-06-04
Sinh Tố Bơ (ly),400,1200,1100,500,25000,36000,2025-06-05
Trà Sữa Trân Châu (ly),900,2800,2700,1000,24000,36000,2025-06-05
Sinh Tố Xoài (ly),350,1000,950,400,22000,31000,2025-06-04
Bánh Mì Thịt (cái),2000,5500,5300,2200,9000,16000,2025-06-05
Cơm Tấm Sườn (dĩa),1500,3800,3600,1700,22000,36000,2025-06-05
Bánh Mì Chảo (dĩa),1000,2500,2400,1100,16000,26000,2025-06-04
Phở Bò (tô),600,1800,1750,650,28000,45000,2025-06-05
Bánh Xèo (cái),500,1200,1150,550,12000,20000,2025-06-04
Gỏi Cuốn (cuốn),800,2000,1900,900,8000,14000,2025-06-05
Nước Suối (chai),3000,6000,5800,3200,3000,7000,2025-06-05
Coca Cola (lon),2500,5000,4800,2700,5000,12000,2025-06-05
Bia (lon),2000,4000,3800,2200,8000,15000,2025-06-04
