ngay,loai_chi_phi,mo_ta,so_tien,nguoi_phu_trach,danh_muc,ghi_chu
2025-01-05,Nguyên liệu,Nhập cà phê hạt,8500000,Nguyễn Văn A,Đồ uống,Định kỳ hàng tuần
2025-01-05,Nguyên liệu,Nhập trái cây tươi,3200000,Trần Thị B,Đồ uống,
2025-01-06,Điện nước,Tiền điện tháng 12,4500000,,Vận hành,
2025-01-07,Nhân sự,Lương nhân viên tháng 12,45000000,,Vận hành,12 nhân viên
2025-01-08,Marketing,Quảng cáo Facebook,2000000,Lê Văn C,Marketing,
2025-01-10,Nguyên liệu,Nhập thịt và rau củ,5600000,Phạm Thị D,Đồ ăn,
2025-01-15,Bảo trì,Sửa máy pha cà phê,1500000,,Vận hành,
2025-01-20,Nguyên liệu,Nhập cà phê hạt,8200000,Nguyễn Văn A,Đồ uống,
2025-02-01,Nguyên liệu,Nhập cà phê hạt,9000000,Nguyễn Văn A,Đồ uống,Giá tăng nhẹ
2025-02-03,Điện nước,Tiền điện tháng 1,4800000,,Vận hành,
2025-02-05,Nguyên liệu,Nhập trái cây tươi,3500000,Trần Thị B,Đồ uống,
2025-02-07,Nhân sự,Lương nhân viên tháng 1,45000000,,Vận hành,
2025-02-10,Nguyên liệu,Nhập thịt và rau củ,5800000,Phạm Thị D,Đồ ăn,
2025-02-12,Marketing,Quảng cáo Tết,5000000,Lê Văn C,Marketing,Chiến dịch Tết
2025-02-15,Mặt bằng,Thuê mặt bằng tháng 2,15000000,,Vận hành,
2025-03-01,Nguyên liệu,Nhập cà phê hạt,8800000,Nguyễn Văn A,Đồ uống,
2025-03-03,Điện nước,Tiền điện tháng 2,4200000,,Vận hành,
2025-03-05,Nguyên liệu,Nhập trái cây tươi,3400000,Trần Thị B,Đồ uống,
2025-03-07,Nhân sự,Lương nhân viên tháng 2,45000000,,Vận hành,
2025-03-10,Nguyên liệu,Nhập thịt và rau củ,5700000,Phạm Thị D,Đồ ăn,
2025-03-15,Mặt bằng,Thuê mặt bằng tháng 3,15000000,,Vận hành,
2025-03-20,Marketing,Quảng cáo Instagram,1500000,Lê Văn C,Marketing,
2025-04-01,Nguyên liệu,Nhập cà phê hạt,9200000,Nguyễn Văn A,Đồ uống,
2025-04-03,Điện nước,Tiền điện tháng 3,5100000,,Vận hành,Mùa nóng
2025-04-05,Nguyên liệu,Nhập trái cây tươi,3700000,Trần Thị B,Đồ uống,
2025-04-07,Nhân sự,Lương nhân viên tháng 3,46000000,,Vận hành,
2025-04-10,Nguyên liệu,Nhập thịt và rau củ,5900000,Phạm Thị D,Đồ ăn,
2025-04-12,Bảo trì,Bảo trì máy lạnh,2500000,,Vận hành,Hư hỏng nặng
2025-04-15,Mặt bằng,Thuê mặt bằng tháng 4,15000000,,Vận hành,
2025-05-01,Nguyên liệu,Nhập cà phê hạt,9500000,Nguyễn Văn A,Đồ uống,
2025-05-03,Điện nước,Tiền điện tháng 4,5800000,,Vận hành,Cao bất thường
2025-05-05,Nguyên liệu,Nhập trái cây tươi,3900000,Trần Thị B,Đồ uống,
2025-05-07,Nhân sự,Lương nhân viên tháng 4,47000000,,Vận hành,
2025-05-10,Nguyên liệu,Nhập thịt và rau củ,6100000,Phạm Thị D,Đồ ăn,
2025-05-15,Mặt bằng,Thuê mặt bằng tháng 5,15000000,,Vận hành,
2025-05-20,Marketing,Quảng cáo hè,3500000,Lê Văn C,Marketing,Chiến dịch mùa hè
2025-06-01,Nguyên liệu,Nhập cà phê hạt,9800000,Nguyễn Văn A,Đồ uống,
2025-06-03,Điện nước,Tiền điện tháng 5,6200000,,Vận hành,Cần kiểm tra
2025-06-05,Nguyên liệu,Nhập trái cây tươi,4100000,Trần Thị B,Đồ uống,
