ngay,san_pham,danh_muc,khu_vuc,so_luong,don_gia,doanh_thu,chi_phi
2025-01-05,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,245,25000,6125000,3500000
2025-01-05,Trà Đào,Đồ uống,Hồ Chí Minh,180,30000,5400000,3100000
2025-01-05,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,320,15000,4800000,2800000
2025-01-06,Cà Phê Sữa Đá,Đồ uống,Hà Nội,210,25000,5250000,3000000
2025-01-06,Sinh Tố Bơ,Đồ uống,Hà Nội,95,35000,3325000,2000000
2025-01-06,Bánh Mì Thịt,Đồ ăn,Đà Nẵng,150,15000,2250000,1350000
2025-01-07,Cà Phê Đen,Đồ uống,Hồ Chí Minh,280,20000,5600000,3200000
2025-01-07,Trà Sữa Trân Châu,Đồ uống,Hà Nội,200,35000,7000000,4200000
2025-01-07,Cơm Tấm Sườn,Đồ ăn,Hồ Chí Minh,170,35000,5950000,3700000
2025-01-08,Sinh Tố Xoài,Đồ uống,Đà Nẵng,88,30000,2640000,1580000
2025-01-08,Cà Phê Sữa Đá,Đồ uống,Đà Nẵng,165,25000,4125000,2400000
2025-01-08,Bánh Mì Chảo,Đồ ăn,Hà Nội,120,25000,3000000,1800000
2025-01-09,Trà Đào,Đồ uống,Hồ Chí Minh,195,30000,5850000,3400000
2025-01-09,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,340,15000,5100000,2950000
2025-01-09,Cơm Tấm Sườn,Đồ ăn,Đà Nẵng,130,35000,4550000,2850000
2025-02-01,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,310,25000,7750000,4400000
2025-02-01,Trà Sữa Trân Châu,Đồ uống,Hồ Chí Minh,260,35000,9100000,5400000
2025-02-02,Cà Phê Đen,Đồ uống,Hà Nội,190,20000,3800000,2200000
2025-02-02,Sinh Tố Bơ,Đồ uống,Đà Nẵng,105,35000,3675000,2250000
2025-02-03,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,380,15000,5700000,3300000
2025-02-03,Cơm Tấm Sườn,Đồ ăn,Hà Nội,145,35000,5075000,3200000
2025-02-04,Trà Đào,Đồ uống,Đà Nẵng,110,30000,3300000,1950000
2025-02-04,Cà Phê Sữa Đá,Đồ uống,Hà Nội,230,25000,5750000,3300000
2025-02-05,Sinh Tố Xoài,Đồ uống,Hồ Chí Minh,120,30000,3600000,2150000
2025-02-05,Bánh Mì Chảo,Đồ ăn,Đà Nẵng,95,25000,2375000,1450000
2025-03-01,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,350,25000,8750000,5000000
2025-03-01,Trà Sữa Trân Châu,Đồ uống,Hà Nội,290,35000,10150000,6100000
2025-03-02,Cà Phê Đen,Đồ uống,Đà Nẵng,210,20000,4200000,2450000
2025-03-02,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,420,15000,6300000,3650000
2025-03-03,Trà Đào,Đồ uống,Hà Nội,205,30000,6150000,3600000
2025-03-03,Cơm Tấm Sườn,Đồ ăn,Hồ Chí Minh,185,35000,6475000,4100000
2025-03-04,Sinh Tố Bơ,Đồ uống,Hồ Chí Minh,140,35000,4900000,2950000
2025-03-04,Bánh Mì Chảo,Đồ ăn,Hà Nội,155,25000,3875000,2350000
2025-03-05,Cà Phê Sữa Đá,Đồ uống,Đà Nẵng,275,25000,6875000,3950000
2025-03-05,Sinh Tố Xoài,Đồ uống,Hà Nội,130,30000,3900000,2350000
2025-04-01,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,390,25000,9750000,5550000
2025-04-01,Trà Sữa Trân Châu,Đồ uống,Đà Nẵng,220,35000,7700000,4650000
2025-04-02,Bánh Mì Thịt,Đồ ăn,Hà Nội,310,15000,4650000,2700000
2025-04-02,Cà Phê Đen,Đồ uống,Hồ Chí Minh,240,20000,4800000,2750000
2025-04-03,Trà Đào,Đồ uống,Hồ Chí Minh,230,30000,6900000,4000000
2025-04-03,Cơm Tấm Sườn,Đồ ăn,Đà Nẵng,160,35000,5600000,3550000
2025-04-04,Sinh Tố Bơ,Đồ uống,Hà Nội,118,35000,4130000,2500000
2025-04-04,Bánh Mì Chảo,Đồ ăn,Hồ Chí Minh,175,25000,4375000,2650000
2025-04-05,Cà Phê Sữa Đá,Đồ uống,Hà Nội,300,25000,7500000,4300000
2025-04-05,Sinh Tố Xoài,Đồ uống,Đà Nẵng,98,30000,2940000,1780000
2025-05-01,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,410,25000,10250000,5850000
2025-05-01,Trà Sữa Trân Châu,Đồ uống,Hồ Chí Minh,310,35000,10850000,6500000
2025-05-02,Cà Phê Đen,Đồ uống,Đà Nẵng,260,20000,5200000,3000000
2025-05-02,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,450,15000,6750000,3900000
2025-05-03,Trà Đào,Đồ uống,Hà Nội,215,30000,6450000,3750000
2025-05-03,Cơm Tấm Sườn,Đồ ăn,Hồ Chí Minh,195,35000,6825000,4300000
2025-05-04,Sinh Tố Bơ,Đồ uống,Đà Nẵng,150,35000,5250000,3150000
2025-05-04,Bánh Mì Chảo,Đồ ăn,Hà Nội,165,25000,4125000,2500000
